stime,station_id,lat,lon,station_id,states,RH,HPBL,TMP,goes_measurement,wind_direction,wind_speed,forest_perc,pop_density,num_vehicles,copd_heart,air_data_value_pred,air_data_value_real
2019-06-09 21:00,48-323-0004,28.704607,-100.451156,48-323-0004,Texas,23.800001,2333.174,314.5205,0.2647901,288.8201126,2.223287248,37.33,287.48889,8248322,14834,11.69064268,16
2019-05-04 15:00,35-001-1012,35.1852,-106.50815,35-001-1012,New Mexico,50.5,103.035385,285.7353,0.4194495,104.1367585,2.652474305,31.99,44.806827,655766,9336,4.342536202,4
2019-03-29 15:00,41-035-0004,42.190296,-121.731369,41-035-0004,Oregon,95.1,92.95595,272.81525,2.1724875,352.1848701,1.508867414,48.51,113.700561,1488623,6188,8.968204051,12
2019-06-30 21:00,32-031-1007,39.621434,-119.71877,32-031-1007,Nevada,14.1,2358.467,298.88016,0.14480768,150.296916,2.326431873,15.89,72.778719,683020,5397,3.562462698,4
2019-03-31 20:00,11-001-0043,38.921847,-77.013178,11-001-0043,Maryland,39.4,1506.9008,285.1025,0.05588044,160.3242049,7.697945554,39.36,1613.304771,1922462,9951,3.17285827,4
2019-06-22 15:00,49-035-4002,40.662878,-111.901188,49-035-4002,Utah,40.3,1216.283,286.255,0.38099658,139.5383766,1.092101597,34.48,101.00961,937421,12540,5.676143103,3.6
2019-04-28 15:00,48-201-1034,29.767997,-95.220582,48-201-1034,Texas,69.3,995.2997,297.48734,0.8905173,288.1453941,3.728502343,37.33,287.48889,8248322,14834,9.482595635,7
2019-05-12 15:00,35-001-0026,35.1443,-106.60468,35-001-0026,New Mexico,74.3,404.81616,285.90372,0.3460884,120.3757005,0.814810505,31.99,44.806827,655766,9336,6.095802815,3.4
2019-01-26 21:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,30.800001,1280.5648,288.45337,-0.01563124,82.72454244,3.890042282,37.33,287.48889,8248322,14834,5.545902778,3
2019-03-06 21:00,35-049-0021,35.61975,-106.07968,35-049-0021,New Mexico,20.4,1333.7622,290.02106,-0.05,189.3846403,5.93873557,31.99,44.806827,655766,9336,3.60423575,2
2019-06-16 19:00,48-479-0313,27.599444,-99.533333,48-479-0313,Texas,40.2,1473.505,310.14285,0.4967407,299.5046092,5.481028632,37.33,287.48889,8248322,14834,15.27805828,12
2019-06-08 21:00,48-043-0101,29.30265,-103.17781,48-043-0101,Texas,17.7,3510.7524,309.95923,0.08123319,221.1683773,4.081521778,37.33,287.48889,8248322,14834,8.610831207,9
2019-06-08 22:00,35-001-1012,35.1852,-106.50815,35-001-1012,New Mexico,14,3346.8943,301.83777,0.24490862,258.6328544,2.922194745,31.99,44.806827,655766,9336,6.481465675,8.5
